,0,1,2,3,4,5,6,7,8,9
1,26,27,19,24,11,19,24,7,21,7
2,25,25,23,12,26,2,21,12,20,8
3,24,24,20,15,17,21,16,18,4,21
4,23,23,28,2,28,8,5,26,7,9
5,20,26,27,17,13,16,27,0,18,22
6,22,18,29,18,15,12,20,16,10,25
7,21,19,22,3,23,14,17,19,23,15
8,19,15,17,19,18,27,8,9,28,14
9,16,22,26,1,16,7,29,2,14,26
10,15,21,21,0,5,28,4,10,27,12
11,14,20,18,8,24,11,19,25,8,13
12,12,16,24,10,29,6,13,23,15,24
13,11,14,25,16,12,26,6,15,26,17
14,13,12,15,20,10,20,22,1,22,0
15,8,17,12,26,9,9,15,24,6,27
16,9,13,14,14,21,10,12,21,16,16
17,10,10,11,23,7,17,28,8,19,6
18,6,9,9,25,6,13,25,11,5,18
19,5,11,8,21,3,24,2,14,29,3
20,7,8,7,9,27,4,11,22,12,23
21,2,7,6,22,8,18,26,5,3,20
22,4,6,4,7,25,3,14,20,11,19
23,3,3,2,4,20,23,1,17,17,11
24,0,0,5,13,19,22,18,4,25,2
25,1,2,1,5,14,25,7,13,24,10
26,27,5,16,27,1,5,3,27,2,1
27,27,4,10,27,0,1,23,6,9,28
28,27,1,13,27,2,0,9,27,1,4
29,18,28,0,11,4,29,0,3,13,28
30,17,28,3,6,22,15,10,27,0,5
